"Date","Price","Open","High","Low","Change %"
"Feb 20, 2020","1,619.70","1,611.71","1,623.79","1,603.98","0.50%"
"Feb 19, 2020","1,611.64","1,601.85","1,613.04","1,599.53","0.61%"
"Feb 18, 2020","1,601.92","1,583.44","1,605.45","1,583.09","1.32%"
"Feb 17, 2020","1,581.10","1,584.70","1,584.81","1,578.60","-0.23%"
"Feb 14, 2020","1,584.70","1,576.30","1,585.05","1,573.12","0.53%"
"Feb 13, 2020","1,576.39","1,565.62","1,578.24","1,565.53","0.69%"
"Feb 12, 2020","1,565.63","1,567.73","1,570.59","1,561.80","-0.13%"
"Feb 11, 2020","1,567.71","1,572.09","1,574.17","1,562.29","-0.29%"
"Feb 10, 2020","1,572.30","1,570.29","1,577.23","1,568.01","0.13%"
"Feb 07, 2020","1,570.29","1,566.86","1,574.18","1,562.39","0.22%"
"Feb 06, 2020","1,566.85","1,556.95","1,568.55","1,552.46","0.65%"
"Feb 05, 2020","1,556.70","1,552.56","1,562.50","1,547.40","0.27%"
"Feb 04, 2020","1,552.56","1,576.40","1,579.57","1,549.14","-1.52%"
"Feb 03, 2020","1,576.45","1,590.20","1,591.84","1,571.29","-0.86%"
"Jan 31, 2020","1,590.20","1,574.18","1,590.21","1,570.84","1.02%"
"Jan 30, 2020","1,574.21","1,577.09","1,586.16","1,572.65","-0.18%"
"Jan 29, 2020","1,577.12","1,566.19","1,578.04","1,563.21","0.69%"
"Jan 28, 2020","1,566.24","1,581.95","1,583.27","1,565.65","-0.99%"
"Jan 27, 2020","1,581.94","1,580.10","1,586.81","1,575.81","0.72%"
"Jan 24, 2020","1,570.65","1,563.30","1,576.01","1,556.42","0.47%"
"Jan 23, 2020","1,563.32","1,558.93","1,568.17","1,551.68","0.28%"
"Jan 22, 2020","1,558.92","1,558.03","1,559.63","1,550.08","0.06%"
"Jan 21, 2020","1,558.02","1,560.94","1,568.75","1,546.41","-0.23%"
"Jan 20, 2020","1,561.58","1,558.65","1,563.00","1,556.39","0.32%"
"Jan 17, 2020","1,556.61","1,552.90","1,561.45","1,549.36","0.25%"
"Jan 16, 2020","1,552.79","1,556.18","1,558.19","1,548.05","-0.22%"
"Jan 15, 2020","1,556.19","1,546.40","1,558.44","1,546.11","0.63%"
"Jan 14, 2020","1,546.37","1,548.31","1,548.95","1,536.12","-0.12%"
"Jan 13, 2020","1,548.30","1,562.29","1,562.30","1,546.77","-0.89%"
"Jan 10, 2020","1,562.28","1,552.40","1,563.27","1,545.52","0.64%"
"Jan 09, 2020","1,552.37","1,555.76","1,561.67","1,540.18","-0.22%"
"Jan 08, 2020","1,555.81","1,573.99","1,611.15","1,552.23","-1.15%"
"Jan 07, 2020","1,573.99","1,565.93","1,577.53","1,555.29","0.51%"
"Jan 06, 2020","1,565.96","1,561.15","1,583.44","1,560.90","0.92%"
"Jan 03, 2020","1,551.65","1,528.95","1,553.70","1,528.00","1.49%"
"Jan 02, 2020","1,528.94","1,517.24","1,531.55","1,517.22","0.77%"
"Jan 01, 2020","1,517.30","1,517.24","1,517.48","1,517.19","-0.01%"
"Dec 31, 2019","1,517.40","1,515.22","1,525.45","1,514.66","0.14%"
"Dec 30, 2019","1,515.22","1,511.80","1,516.54","1,510.43","0.30%"
"Dec 27, 2019","1,510.67","1,511.55","1,515.47","1,507.05","-0.06%"
"Dec 26, 2019","1,511.55","1,499.42","1,512.77","1,497.66","0.80%"
"Dec 25, 2019","1,499.55","1,499.55","1,499.55","1,499.55","-0.00%"
"Dec 24, 2019","1,499.56","1,485.57","1,500.77","1,484.41","0.95%"
"Dec 23, 2019","1,485.52","1,478.20","1,486.29","1,477.51","0.50%"
"Dec 20, 2019","1,478.20","1,479.14","1,481.26","1,475.70","-0.06%"
"Dec 19, 2019","1,479.15","1,475.44","1,481.97","1,473.01","0.25%"
"Dec 18, 2019","1,475.44","1,476.45","1,479.67","1,470.32","-0.07%"
"Dec 17, 2019","1,476.45","1,476.25","1,480.78","1,474.23","0.01%"
"Dec 16, 2019","1,476.25","1,475.60","1,480.03","1,472.99","0.03%"
"Dec 13, 2019","1,475.81","1,469.47","1,478.22","1,462.48","0.43%"
"Dec 12, 2019","1,469.43","1,474.85","1,486.95","1,464.78","-0.37%"
"Dec 11, 2019","1,474.85","1,464.19","1,479.04","1,462.59","0.73%"
"Dec 10, 2019","1,464.21","1,461.93","1,469.36","1,459.80","0.15%"
"Dec 09, 2019","1,461.99","1,459.49","1,465.80","1,458.76","0.15%"
"Dec 06, 2019","1,459.76","1,475.70","1,477.45","1,458.61","-1.08%"
"Dec 05, 2019","1,475.70","1,474.34","1,480.72","1,472.90","0.09%"
"Dec 04, 2019","1,474.35","1,477.34","1,484.55","1,471.39","-0.20%"
"Dec 03, 2019","1,477.34","1,462.50","1,482.22","1,459.39","1.02%"
"Dec 02, 2019","1,462.44","1,467.03","1,467.03","1,453.91","-0.16%"
"Nov 29, 2019","1,464.80","1,455.90","1,466.81","1,452.93","0.44%"
"Nov 28, 2019","1,458.34","1,456.77","1,458.57","1,454.37","0.27%"
"Nov 27, 2019","1,454.35","1,461.65","1,462.11","1,452.45","-0.50%"
"Nov 26, 2019","1,461.60","1,454.98","1,462.97","1,450.63","0.46%"
"Nov 25, 2019","1,454.97","1,462.29","1,462.41","1,453.89","-0.50%"
"Nov 22, 2019","1,462.29","1,464.40","1,473.30","1,461.23","-0.14%"
"Nov 21, 2019","1,464.40","1,471.25","1,475.98","1,462.60","-0.47%"
"Nov 20, 2019","1,471.25","1,472.39","1,479.15","1,465.88","-0.08%"
"Nov 19, 2019","1,472.38","1,470.85","1,475.72","1,464.60","0.10%"
"Nov 18, 2019","1,470.85","1,467.66","1,474.30","1,456.26","0.24%"
"Nov 15, 2019","1,467.37","1,471.20","1,471.49","1,462.28","-0.26%"
"Nov 14, 2019","1,471.20","1,463.18","1,474.62","1,460.93","0.55%"
"Nov 13, 2019","1,463.19","1,457.19","1,467.36","1,455.96","0.41%"
"Nov 12, 2019","1,457.19","1,455.79","1,460.55","1,445.61","0.09%"
"Nov 11, 2019","1,455.90","1,458.96","1,466.77","1,448.28","-0.19%"
"Nov 08, 2019","1,458.66","1,468.01","1,473.33","1,456.28","-0.64%"
"Nov 07, 2019","1,468.07","1,490.44","1,492.48","1,461.24","-1.50%"
"Nov 06, 2019","1,490.46","1,484.10","1,494.46","1,482.45","0.43%"
"Nov 05, 2019","1,484.10","1,509.64","1,510.10","1,479.65","-1.69%"
"Nov 04, 2019","1,509.63","1,513.80","1,514.97","1,504.33","-0.29%"
"Nov 01, 2019","1,513.95","1,513.32","1,515.81","1,503.31","0.04%"
"Oct 31, 2019","1,513.35","1,496.40","1,514.53","1,493.72","1.20%"
"Oct 30, 2019","1,495.40","1,487.60","1,496.91","1,481.21","0.52%"
"Oct 29, 2019","1,487.60","1,492.69","1,495.16","1,483.72","-0.34%"
"Oct 28, 2019","1,492.69","1,504.34","1,508.58","1,489.86","-0.80%"
"Oct 25, 2019","1,504.73","1,504.75","1,518.07","1,500.56","0.07%"
"Oct 24, 2019","1,503.65","1,492.15","1,504.27","1,488.02","0.77%"
"Oct 23, 2019","1,492.10","1,488.35","1,496.50","1,487.62","0.27%"
"Oct 22, 2019","1,488.05","1,484.52","1,489.29","1,480.87","0.24%"
"Oct 21, 2019","1,484.50","1,492.02","1,495.48","1,481.91","-0.38%"
"Oct 18, 2019","1,490.10","1,492.17","1,494.26","1,484.82","-0.12%"
"Oct 17, 2019","1,491.89","1,490.55","1,497.50","1,483.45","0.14%"
"Oct 16, 2019","1,489.77","1,481.13","1,491.65","1,477.06","0.58%"
"Oct 15, 2019","1,481.17","1,493.20","1,498.17","1,477.53","-0.79%"
"Oct 14, 2019","1,492.90","1,488.90","1,497.38","1,482.82","0.20%"
"Oct 11, 2019","1,489.85","1,494.44","1,503.45","1,474.28","-0.30%"
"Oct 10, 2019","1,494.30","1,505.60","1,517.08","1,491.42","-0.76%"
"Oct 09, 2019","1,505.70","1,506.05","1,511.60","1,499.70","0.01%"
"Oct 08, 2019","1,505.51","1,493.55","1,508.71","1,487.45","0.80%"
"Oct 07, 2019","1,493.60","1,504.76","1,509.64","1,489.94","-0.73%"
