"Date","Price","Open","High","Low","Change %"
"Feb 20, 2019","1,338.49","1,341.24","1,347.11","1,336.79","-0.20%"
"Feb 19, 2019","1,341.17","1,326.25","1,342.11","1,322.63","1.08%"
"Feb 18, 2019","1,326.90","1,321.41","1,328.05","1,320.60","0.42%"
"Feb 15, 2019","1,321.41","1,312.64","1,322.76","1,311.17","0.68%"
"Feb 14, 2019","1,312.55","1,306.17","1,314.70","1,302.88","0.49%"
"Feb 13, 2019","1,306.19","1,310.89","1,318.36","1,304.80","-0.36%"
"Feb 12, 2019","1,310.90","1,308.22","1,315.10","1,306.44","0.20%"
"Feb 11, 2019","1,308.32","1,314.55","1,315.01","1,303.69","-0.44%"
"Feb 08, 2019","1,314.06","1,310.13","1,316.05","1,307.53","0.30%"
"Feb 07, 2019","1,310.09","1,306.19","1,312.27","1,302.53","0.30%"
"Feb 06, 2019","1,306.22","1,315.02","1,316.16","1,305.70","-0.67%"
"Feb 05, 2019","1,315.02","1,311.73","1,317.13","1,310.59","0.25%"
"Feb 04, 2019","1,311.75","1,318.13","1,319.11","1,308.50","-0.47%"
"Feb 01, 2019","1,318.00","1,320.93","1,323.82","1,315.94","-0.22%"
"Jan 31, 2019","1,320.94","1,319.87","1,326.65","1,317.39","0.08%"
"Jan 30, 2019","1,319.91","1,311.95","1,323.67","1,308.81","0.61%"
"Jan 29, 2019","1,311.93","1,303.53","1,312.34","1,302.45","0.64%"
"Jan 28, 2019","1,303.53","1,303.82","1,304.79","1,297.54","0.02%"
"Jan 25, 2019","1,303.22","1,280.93","1,303.78","1,279.71","1.74%"
"Jan 24, 2019","1,280.94","1,282.42","1,285.19","1,276.79","-0.11%"
"Jan 23, 2019","1,282.40","1,285.04","1,286.90","1,278.40","-0.21%"
"Jan 22, 2019","1,285.04","1,279.94","1,285.84","1,277.21","0.37%"
"Jan 21, 2019","1,280.28","1,281.64","1,283.95","1,276.58","-0.09%"
"Jan 18, 2019","1,281.49","1,291.88","1,292.73","1,280.49","-0.81%"
"Jan 17, 2019","1,291.90","1,293.55","1,295.62","1,288.67","-0.13%"
"Jan 16, 2019","1,293.52","1,289.11","1,295.22","1,287.77","0.33%"
"Jan 15, 2019","1,289.31","1,291.73","1,295.03","1,286.60","-0.19%"
"Jan 14, 2019","1,291.73","1,287.70","1,296.21","1,287.45","0.29%"
"Jan 11, 2019","1,288.00","1,286.30","1,295.55","1,286.01","0.13%"
"Jan 10, 2019","1,286.38","1,293.13","1,297.47","1,285.99","-0.52%"
"Jan 09, 2019","1,293.13","1,285.36","1,294.25","1,279.90","0.61%"
"Jan 08, 2019","1,285.35","1,288.68","1,290.44","1,279.10","-0.26%"
"Jan 07, 2019","1,288.67","1,286.01","1,295.42","1,282.53","0.29%"
"Jan 04, 2019","1,284.92","1,294.04","1,298.68","1,276.66","-0.70%"
"Jan 03, 2019","1,293.99","1,284.80","1,295.11","1,284.17","0.72%"
"Jan 02, 2019","1,284.77","1,282.30","1,288.93","1,278.59","0.17%"
"Jan 01, 2019","1,282.61","1,282.78","1,283.05","1,282.52","-0.02%"
"Dec 31, 2018","1,282.82","1,280.20","1,284.34","1,277.31","0.16%"
"Dec 28, 2018","1,280.75","1,275.23","1,282.34","1,274.19","0.43%"
"Dec 27, 2018","1,275.22","1,266.89","1,279.30","1,266.42","0.65%"
"Dec 26, 2018","1,266.98","1,270.75","1,279.33","1,264.56","-0.17%"
"Dec 24, 2018","1,269.13","1,258.65","1,270.13","1,257.96","1.04%"
"Dec 21, 2018","1,256.01","1,260.10","1,263.12","1,253.68","-0.33%"
"Dec 20, 2018","1,260.15","1,243.40","1,266.70","1,242.70","1.35%"
"Dec 19, 2018","1,243.40","1,249.37","1,258.44","1,241.49","-0.48%"
"Dec 18, 2018","1,249.38","1,246.02","1,250.63","1,244.79","0.28%"
"Dec 17, 2018","1,245.91","1,237.60","1,248.46","1,235.69","0.62%"
"Dec 14, 2018","1,238.21","1,242.43","1,243.30","1,232.70","-0.34%"
"Dec 13, 2018","1,242.46","1,245.69","1,247.14","1,240.05","-0.27%"
"Dec 12, 2018","1,245.80","1,242.94","1,247.52","1,241.94","0.23%"
"Dec 11, 2018","1,242.94","1,244.52","1,249.89","1,240.81","-0.13%"
"Dec 10, 2018","1,244.58","1,250.76","1,250.85","1,241.47","-0.28%"
