"Date","Price","Open","High","Low","Change %"
"Feb 19, 2021","1,782.31","1,776.19","1,791.70","1,760.13","0.38%"
"Feb 18, 2021","1,775.49","1,776.69","1,789.88","1,767.98","-0.04%"
"Feb 17, 2021","1,776.26","1,794.65","1,795.45","1,769.27","-1.01%"
"Feb 16, 2021","1,794.31","1,819.34","1,826.75","1,789.19","-1.33%"
"Feb 15, 2021","1,818.51","1,825.34","1,827.59","1,815.71","-0.27%"
"Feb 12, 2021","1,823.46","1,825.90","1,830.80","1,810.33","-0.10%"
"Feb 11, 2021","1,825.36","1,842.65","1,847.95","1,820.63","-0.91%"
"Feb 10, 2021","1,842.22","1,837.55","1,855.70","1,833.91","0.28%"
"Feb 09, 2021","1,837.06","1,830.59","1,849.15","1,828.63","0.38%"
"Feb 08, 2021","1,830.16","1,815.44","1,839.15","1,807.48","1.02%"
"Feb 05, 2021","1,811.62","1,792.49","1,815.32","1,791.80","1.08%"
"Feb 04, 2021","1,792.26","1,834.34","1,835.13","1,785.15","-2.26%"
"Feb 03, 2021","1,833.76","1,837.49","1,845.29","1,829.49","-0.20%"
"Feb 02, 2021","1,837.35","1,860.84","1,864.26","1,829.46","-1.23%"
"Feb 01, 2021","1,860.16","1,863.05","1,871.84","1,849.04","0.76%"
"Jan 29, 2021","1,846.09","1,840.90","1,876.03","1,839.56","0.31%"
"Jan 28, 2021","1,840.36","1,844.34","1,864.26","1,833.81","-0.20%"
"Jan 27, 2021","1,843.99","1,850.65","1,853.58","1,831.29","-0.34%"
"Jan 26, 2021","1,850.31","1,855.55","1,861.86","1,848.36","-0.25%"
"Jan 25, 2021","1,854.99","1,855.75","1,868.45","1,847.30","0.13%"
"Jan 22, 2021","1,852.55","1,870.09","1,871.17","1,837.09","-0.93%"
"Jan 21, 2021","1,869.91","1,871.07","1,875.45","1,858.16","-0.05%"
"Jan 20, 2021","1,870.91","1,840.05","1,872.03","1,832.46","1.72%"
"Jan 19, 2021","1,839.34","1,838.09","1,845.98","1,833.06","0.13%"
"Jan 18, 2021","1,836.89","1,828.94","1,840.95","1,810.46","0.56%"
"Jan 15, 2021","1,826.59","1,846.80","1,856.85","1,823.21","-1.07%"
"Jan 14, 2021","1,846.37","1,843.94","1,857.59","1,833.21","0.16%"
"Jan 13, 2021","1,843.41","1,856.19","1,863.26","1,843.34","-0.66%"
"Jan 12, 2021","1,855.63","1,845.34","1,864.08","1,837.41","0.59%"
"Jan 11, 2021","1,844.66","1,849.34","1,857.05","1,817.14","-0.19%"
"Jan 08, 2021","1,848.26","1,912.90","1,917.85","1,828.74","-3.36%"
"Jan 07, 2021","1,912.50","1,919.40","1,927.97","1,906.86","-0.33%"
"Jan 06, 2021","1,918.81","1,950.30","1,959.60","1,901.11","-1.57%"
"Jan 05, 2021","1,949.35","1,942.65","1,953.17","1,934.08","0.36%"
"Jan 04, 2021","1,942.28","1,906.05","1,944.65","1,905.36","2.33%"
"Jan 01, 2021","1,898.10","1,897.69","1,899.12","1,897.39","0.09%"
"Dec 31, 2020","1,896.49","1,893.55","1,901.26","1,884.77","0.16%"
"Dec 30, 2020","1,893.37","1,878.34","1,894.06","1,875.66","0.82%"
"Dec 29, 2020","1,877.99","1,872.24","1,886.91","1,870.99","0.36%"
"Dec 28, 2020","1,871.19","1,885.93","1,900.53","1,869.21","-0.25%"
"Dec 25, 2020","1,875.82","1,877.07","1,877.07","1,877.07","-0.04%"
"Dec 24, 2020","1,876.56","1,872.74","1,882.55","1,869.52","0.24%"
"Dec 23, 2020","1,872.08","1,859.99","1,878.59","1,858.59","0.67%"
"Dec 22, 2020","1,859.56","1,876.65","1,884.61","1,858.73","-0.89%"
"Dec 21, 2020","1,876.21","1,883.20","1,906.93","1,856.69","-0.24%"
"Dec 18, 2020","1,880.66","1,885.80","1,889.88","1,876.97","-0.28%"
"Dec 17, 2020","1,885.87","1,864.26","1,896.26","1,861.83","1.17%"
"Dec 16, 2020","1,864.15","1,853.94","1,866.20","1,844.75","0.58%"
"Dec 15, 2020","1,853.46","1,827.80","1,855.76","1,825.29","1.44%"
"Dec 14, 2020","1,827.17","1,839.30","1,839.86","1,819.92","-0.64%"
"Dec 11, 2020","1,839.03","1,835.55","1,847.89","1,824.23","0.20%"
"Dec 10, 2020","1,835.31","1,839.59","1,850.40","1,828.48","-0.21%"
"Dec 09, 2020","1,839.11","1,871.19","1,871.37","1,825.71","-1.72%"
"Dec 08, 2020","1,871.36","1,863.55","1,875.79","1,859.83","0.41%"
"Dec 07, 2020","1,863.69","1,837.99","1,868.76","1,822.99","1.42%"
"Dec 04, 2020","1,837.61","1,841.05","1,848.26","1,829.30","-0.15%"
"Dec 03, 2020","1,840.36","1,831.34","1,844.45","1,823.60","0.51%"
"Dec 02, 2020","1,831.01","1,815.19","1,832.65","1,806.99","0.89%"
"Dec 01, 2020","1,814.87","1,777.40","1,817.55","1,775.52","2.13%"
"Nov 30, 2020","1,777.02","1,789.05","1,789.99","1,764.69","-0.62%"
"Nov 27, 2020","1,788.13","1,811.09","1,813.81","1,773.93","-1.24%"
"Nov 26, 2020","1,810.57","1,805.74","1,818.78","1,805.31","0.29%"
"Nov 25, 2020","1,805.30","1,807.69","1,817.98","1,801.33","-0.12%"
"Nov 24, 2020","1,807.51","1,836.65","1,839.26","1,800.69","-1.54%"
"Nov 23, 2020","1,835.85","1,869.84","1,876.72","1,830.85","-1.85%"
"Nov 20, 2020","1,870.49","1,867.59","1,879.98","1,860.66","0.17%"
"Nov 19, 2020","1,867.37","1,871.44","1,874.34","1,852.48","-0.22%"
"Nov 18, 2020","1,871.41","1,878.60","1,884.92","1,863.94","-0.38%"
"Nov 17, 2020","1,878.60","1,889.15","1,893.90","1,877.69","-0.52%"
"Nov 16, 2020","1,888.52","1,888.74","1,899.35","1,864.74","0.03%"
"Nov 13, 2020","1,888.04","1,876.44","1,897.16","1,873.76","0.65%"
"Nov 12, 2020","1,875.76","1,865.30","1,883.88","1,862.46","0.59%"
"Nov 11, 2020","1,864.71","1,877.34","1,884.93","1,856.05","-0.63%"
"Nov 10, 2020","1,876.50","1,862.15","1,890.60","1,860.30","0.79%"
"Nov 09, 2020","1,861.86","1,954.65","1,965.92","1,850.36","-4.59%"
"Nov 06, 2020","1,951.51","1,949.24","1,960.77","1,935.40","0.15%"
"Nov 05, 2020","1,948.56","1,903.65","1,952.95","1,902.43","2.38%"
"Nov 04, 2020","1,903.21","1,908.59","1,916.68","1,883.15","-0.27%"
"Nov 03, 2020","1,908.36","1,895.80","1,910.71","1,886.81","0.70%"
"Nov 02, 2020","1,895.10","1,878.59","1,896.12","1,873.21","0.91%"
"Oct 30, 2020","1,877.95","1,868.24","1,889.85","1,864.64","0.58%"
"Oct 29, 2020","1,867.13","1,876.94","1,885.42","1,859.67","-0.53%"
"Oct 28, 2020","1,877.06","1,908.05","1,911.03","1,869.59","-1.56%"
"Oct 27, 2020","1,906.83","1,902.19","1,911.34","1,897.47","0.27%"
"Oct 26, 2020","1,901.69","1,902.34","1,908.55","1,890.90","0.05%"
"Oct 23, 2020","1,900.79","1,904.24","1,914.30","1,894.54","-0.17%"
"Oct 22, 2020","1,904.04","1,924.34","1,926.00","1,894.80","-1.06%"
"Oct 21, 2020","1,924.49","1,908.65","1,931.41","1,907.94","0.95%"
"Oct 20, 2020","1,906.39","1,904.24","1,914.20","1,894.74","0.11%"
"Oct 19, 2020","1,904.27","1,899.94","1,918.59","1,897.09","0.28%"
"Oct 16, 2020","1,898.97","1,907.95","1,914.06","1,897.59","-0.46%"
"Oct 15, 2020","1,907.82","1,900.31","1,909.22","1,889.46","0.36%"
"Oct 14, 2020","1,900.89","1,891.90","1,913.03","1,882.44","0.53%"
"Oct 13, 2020","1,890.82","1,922.42","1,925.73","1,886.59","-1.62%"
"Oct 12, 2020","1,921.95","1,930.50","1,933.45","1,918.19","-0.39%"
"Oct 09, 2020","1,929.43","1,894.19","1,930.83","1,893.32","1.92%"
"Oct 08, 2020","1,893.09","1,887.40","1,900.73","1,881.86","0.31%"
"Oct 07, 2020","1,887.22","1,878.84","1,898.31","1,873.05","0.54%"
"Oct 06, 2020","1,877.13","1,913.28","1,921.10","1,874.57","-1.87%"
"Oct 05, 2020","1,912.90","1,902.24","1,918.74","1,886.81","0.75%"
"Oct 02, 2020","1,898.70","1,905.65","1,917.28","1,889.57","-0.33%"
"Oct 01, 2020","1,905.05","1,885.80","1,912.09","1,884.48","1.04%"
"Sep 30, 2020","1,885.44","1,897.81","1,902.39","1,881.31","-0.65%"
"Sep 29, 2020","1,897.69","1,881.40","1,899.24","1,875.56","0.90%"
